,Method,Model Name,Number of Clusters,Coverage,Entropy Samples,Entropy Features,Silhouette Samples,Silhouette Features,Modularity,type,Distance Metric
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.249801311728395,1.38567690430078,1.38486931433604,-0.0178384259997413,-0.00763562157556279,-0.000448830692993452,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.0514322024221666,-0.00666257504762446,-0.00067179654426011,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.111028163580247,2.18923468736069,2.19650918176305,-0.100119820224745,-0.0130051355766507,-0.00303259463596378,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.0514322024221666,-0.00666257504762446,-0.000810596387390353,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0714255385864184,-0.015192484034655,-0.00150724222486401,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0497208197517871,-0.0082601571010546,-0.00114229340318932,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0362765563518058,-0.0075468979940432,0.00118747151127198,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,10,0.100202546296296,2.25552316734775,2.30035605701506,-0.0573079968973251,-0.0195342098308724,-0.00219400358056374,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0457229710246869,-0.00438210678328048,-0.00149784267027638,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0405623365825977,-0.0177462774648247,-0.00223072898146581,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.111028163580247,2.18923468736069,2.19650918176305,-0.100119820224745,-0.0130051355766507,-0.00254020992836265,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.249801311728395,1.38567690430078,1.38486931433604,-0.0247244256052467,-0.00639935461706978,0.000426192127877201,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0497208197517871,-0.0082601571010546,-0.00127458735100597,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.0514322024221666,-0.00666257504762446,-0.000724117045743308,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0613848550860244,-0.00802339156840677,-0.00125161092643693,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.332413194444444,1.09336404777535,1.09806702374774,-0.0196195572331589,-0.00251718466011984,-0.00282991882550715,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0622035051382245,-0.00741247263515285,0.00125066988861915,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0457229710246869,-0.00438210678328048,-0.00314360302676218,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.111028163580247,2.18923468736069,2.19650918176305,-0.0621732424720767,-0.0160930760609722,-0.00253119510282958,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.055233491082435,-0.0126642242594991,-0.000770485495848303,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0457229710246869,-0.00438210678328048,-0.00125161092643693,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.249801311728395,1.38567690430078,1.38486931433604,-0.0247244256052467,-0.00639935461706978,7.54805062384567E-05,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0470734228721559,-0.00385557418994028,0.00107559098689958,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.0800909229151552,-0.0108438127580156,-0.000784906831767048,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0362765563518058,-0.0075468979940432,0.00125066988861915,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.332413194444444,1.09336404777535,1.09806702374774,-0.0385741932765703,-0.00227445495574234,-0.00363169540473601,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0613848550860244,-0.00802339156840677,-0.00114229340318932,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.0514322024221666,-0.00666257504762446,-0.000503314325008596,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0405623365825977,-0.0177462774648247,-0.00455905092044933,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.111028163580247,2.18923468736069,2.19650918176305,-0.074359249987916,-0.00837213705787377,-0.00269421582548943,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.055233491082435,-0.0126642242594991,-0.000810596387390353,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.055233491082435,-0.0126642242594991,-0.00137786313801856,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0405623365825977,-0.0177462774648247,-0.00100627561274862,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0497208197517871,-0.0082601571010546,-0.00125249050488613,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,10,0.100202546296296,2.25552316734775,2.30035605701506,-0.0959198335791983,-0.0146361845155723,-0.00432758493665009,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0550582767935451,-0.00915115610890088,-0.00103888487770717,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.0800909229151552,-0.0108438127580156,-0.00118016622323134,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0470734228721559,-0.00385557418994028,0.00125066988861915,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.249801311728395,1.38567690430078,1.38486931433604,-0.0178384259997413,-0.00763562157556279,-0.000282368080222105,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.111028163580247,2.18923468736069,2.19650918176305,-0.0621732424720767,-0.0160930760609722,-0.00352992548141304,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0613848550860244,-0.00802339156840677,-0.00149784267027638,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0405623365825977,-0.0177462774648247,-0.00150724222486401,BSGP_Raw,
